ALLC,ALLD,TFT,GRIM,PAVLOV,CONTRITE,PROBER,
14,14,14,14,14,14,14,
26,17,16,13,15,4,9,
38,17,15,10,13,1,5,
52,16,13,7,11,0,2,
62,15,10,5,8,0,1,
71,14,7,3,5,0,0,
79,12,4,2,3,0,0,
84,10,2,1,2,0,0,
88,9,1,1,1,0,0,
91,7,1,0,1,0,0,
93,6,0,0,0,0,0,
89,11,0,0,0,0,0,
81,19,0,0,0,0,0,
70,30,0,0,0,0,0,
55,45,0,0,0,0,0,
40,60,0,0,0,0,0,
26,74,0,0,0,0,0,
16,84,0,0,0,0,0,
9,91,0,0,0,0,0,
5,95,0,0,0,0,0,
3,97,0,0,0,0,0,
1,99,0,0,0,0,0,
1,99,0,0,0,0,0,
